LADO;NFC;QR
ESTE;172099479;01100201701
ESTE;697482469;01100201702
ESTE;867794009;01100201801
ESTE;865192761;01100201802
ESTE;949506568;01100201901
ESTE;716115124;01100201902
ESTE;954826056;01100202001
ESTE;179814023;01100202002
ESTE;837134635;01100202101
ESTE;281045655;01100202102
ESTE;463745513;01100202201
ESTE;459652073;01100202202
ESTE;498514662;01100202301
ESTE;503094998;01100202302
ESTE;286412039;01100202401
ESTE;706031141;01100202402
ESTE;693844314;01100202501
ESTE;688244298;01100202502
ESTE;690579802;01100202601
ESTE;691697498;01100202602
ESTE;397891876;01100202701
ESTE;571093467;01100202702
ESTE;952504920;01100202801
ESTE;943313224;01100202802
ESTE;942672712;01100202901
ESTE;942686792;01100202902
ESTE;704231380;01100203001
ESTE;930644168;01100203002
ESTE;574644955;01100203101
ESTE;582116043;01100203102
ESTE;957319898;01100203201
ESTE;707091364;01100203202
ESTE;864693305;01100203301
ESTE;870242601;01100203302
ESTE;491652489;01100203401
ESTE;441677240;01100203402
ESTE;706587028;01100203501
ESTE;720423828;01100203502
ESTE;181889159;01100203601
ESTE;180025991;01100203602
ESTE;717029893;01100203701
ESTE;702517237;01100203702
ESTE;178940039;01100203801
ESTE;828925896;01100203802
ESTE;865757497;01100203901
ESTE;556999349;01100203902
ESTE;486628793;01100204001
ESTE;489213353;01100204002
ESTE;689393909;01100204101
ESTE;501559481;01100204102
ESTE;705429396;01100204201
ESTE;709421204;01100204202
ESTE;611295067;01100204301
ESTE;610956891;01100204302
ESTE;568323493;01100204401
ESTE;560828837;01100204402
ESTE;555676581;01100204501
ESTE;554758805;01100204502
ESTE;849673496;01100204601
ESTE;848691496;01100204602
ESTE;707927220;01100204701
ESTE;272220711;01100204702
ESTE;708366996;01100204801
ESTE;707976868;01100204802
ESTE;863880297;01100204901
ESTE;869864057;01100204902
ESTE;583289083;01100205201
ESTE;458055161;01100205202
ESTE;697255893;01100205203
ESTE;940011336;01100205301
ESTE;396932644;01100205302
ESTE;989211658;01100205401
ESTE;567752629;01100205402
ESTE;556397717;01100205501
ESTE;875693690;01100205502
ESTE;969690826;01100205601
ESTE;946395432;01100205602
ESTE;704910500;01100205701
ESTE;713173156;01100205702
ESTE;688655060;01100205801
ESTE;283497767;01100205802
ESTE;768226875;01100205901
ESTE;761192875;01100205902
ESTE;688621253;01100206001
ESTE;869772121;01100206002
ESTE;967474906;01100206010
ESTE;867436633;01100206101
ESTE;829013480;01100206102
ESTE;944102728;01100206201
ESTE;949185384;01100206202
ESTE;730294875;01100206301
ESTE;722313819;01100206302
ESTE;467849705;01100206401
ESTE;453465321;01100206402
ESTE;595031819;01100206501
ESTE;572431867;01100206502
ESTE;448283080;01100206601
ESTE;439901112;01100206602
ESTE;555668885;01100206801
ESTE;569633941;01100206802
ESTE;465651705;01100206901
ESTE;464860153;01100206902
ESTE;442997176;01100207001
ESTE;148121893;01100207002
ESTE;846741784;01100207101
ESTE;139541301;01100207102
ESTE;751515973;01100207201
ESTE;738899253;01100207202
ESTE;718070180;01100207301
ESTE;706998420;01100207302
ESTE;617387845;01100207401
ESTE;614156869;01100207402
ESTE;497133014;01100207501
ESTE;910185546;01100207502
ESTE;603809547;01100207601
ESTE;591412747;01100207602
ESTE;553825701;01100207701
ESTE;553988789;01100207702
ESTE;502893782;01100207801
ESTE;501492166;01100207802
ESTE;487339734;01100207901
